profileid,education,position,projectsCourses,projectsPersonal,projectsSharedSmall,projectsSharedMedium,projectsSharedLarge,teamsSolo,teamsSmall,teamsMedium,teamsLarge,codeReviews,programmingGeneral,programmingCSharp,comment,idesessionuuid,kaveversion,triggeredat,triggeredby,activewindow,activedocument
c908df1f-e0d7-4451-9dfe-4bcbbcb6db65,5,5,0,0,0,1,0,0,1,0,0,1,6,6,,2814284d-76df-4b55-b652-82ee4785ca7a,0.1004-Default,2016-06-10T12:36:18.3651208+02:00,0,0Win:vsWindowTypeSolutionExplorer Projektmappen-Explorer,
b98a59e3-4aa1-4053-884e-7e70179575a7,2,5,0,1,1,0,0,1,1,0,0,2,0,5,,c88b9670-9fc6-410e-a92f-0f08ad723e5e,0.1004-Default,2016-05-11T15:02:17.8951973+02:00,0,0Win:vsWindowTypeMainWindow Microsoft Visual Studio,
86351cf4-136f-4095-bfd4-60ee989e8ff6,4,2,0,1,1,0,0,1,1,0,0,2,4,5,,c227f071-18b8-4fcb-8ad1-06a586341e86,0.1004-Default,2016-05-12T15:12:48.2684179+02:00,0,0Win:vsWindowTypeToolWindow Event Manager,
86351cf4-136f-4095-bfd4-60ee989e8ff6,4,2,0,1,1,0,0,1,1,0,0,2,4,5,,60579e14-e0e3-4b6a-8480-6eb0fdc55b42,0.1004-Default,2016-06-04T14:28:53.3454619+02:00,0,0Win:vsWindowTypeToolWindow Start Page,
86351cf4-136f-4095-bfd4-60ee989e8ff6,4,2,0,1,1,0,0,1,1,0,0,2,4,5,,ec28ca84-0acc-4d7d-a81a-960231f05166,0.1011-Default,2016-08-04T14:21:19.7014302+02:00,0,,
153b500c-eb39-45cb-8a5f-8ba9aca0f5d0,2,5,0,0,0,1,0,1,1,0,0,1,5,5,,6a665cfd-cce6-4a68-b09b-a9d6ebb9884a,0.1004-Default,2016-05-13T06:23:31.7112172+02:00,0,0Win:vsWindowTypeToolWindow Start Page,
09ba8b67-6610-4f67-bd8d-f5e44a3e50ff,6,3,1,1,1,1,0,1,1,0,1,1,6,7,,280247e3-73b3-436a-b61f-2e244bacfabf,0.1000-Default,2016-05-13T16:29:50.2120198+02:00,0,0Win:vsWindowTypeDocument Program.fs,0Doc:F# \GenerateRandomHands\Program.fs
09ba8b67-6610-4f67-bd8d-f5e44a3e50ff,6,3,1,1,1,1,0,1,1,0,1,1,6,7,,0111de97-96b7-4c1f-b8bf-9d3d54ac3aba,0.1000-Default,2016-06-03T16:05:01.3242259+02:00,0,0Win:vsWindowTypeDocument Program.cs,0Doc:CSharp \KaVE.ProcessZipFelienne\Program.cs
f4386b50-076a-445c-9256-59158ed351fa,2,1,0,1,0,0,0,0,1,0,0,2,6,6,,37b363b1-9f8b-4865-aa4f-9fce30070a7e,0.1004-Default,2016-05-17T08:31:18.8628847+02:00,0,0Win:vsWindowTypeDocument Build,
fb7fd4db-be80-4b0a-9435-90dbd4848e8e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4922a6a8-a78e-49e2-ae7b-e8f68fa70a48,0.1004-Default,2016-05-18T09:50:18.7090497+02:00,0,0Win:vsWindowTypeToolWindow Start Page,
ef45ce27-6cef-44cd-9899-a941aa1c28f6,4,5,0,1,0,1,0,1,0,0,0,0,2,1,,97af6957-7446-4df4-88b5-df5fc9c4a17c,0.1004-Default,2016-05-18T22:30:19.154565+02:00,0,0Win:vsWindowTypeToolWindow Start Page,
1aa8578b-b0c2-441f-80d5-9ae1e97c90fa,2,1,0,1,0,0,0,0,1,0,0,1,6,5,,1dbc03a4-391c-47bf-bab4-289644367d33,0.1004-Default,2016-05-19T22:01:07.4930873+02:00,0,0Win:vsWindowTypeToolWindow Start Page,
1aa8578b-b0c2-441f-80d5-9ae1e97c90fa,2,1,0,1,0,0,0,0,1,0,0,1,6,5,,ad6b33c5-3d51-42f3-b418-1cc1c1a82d52,0.1004-Default,2016-05-24T18:05:23.7660831+02:00,0,0Win:vsWindowTypeToolWindow Start Page,
be003945-099b-4341-9a35-d1803ffcd6af,0,0,0,0,0,1,0,1,0,0,0,0,5,5,,1dc07540-5c03-48a7-a5e0-c9cfe3fa3338,0.1004-Default,2016-05-24T06:40:54.5100461+02:00,0,0Win:vsWindowTypeToolWindow Startseite,
086e44b4-057f-4932-a133-31a7ecd10747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7802d9c7-69e3-4ec0-ab35-5e1072f71491,0.1009-Default,2016-06-04T15:12:56.3175587+02:00,0,0Win:vsWindowTypeOutput Output,0Doc:CSharp \eComConnector.Magento\Impl\PrepareUtils.cs
SarojEkka,5,5,0,0,0,0,1,0,0,0,1,1,7,7,,fab7cc09-7af6-46ae-9135-e98d0a3ff774,0.1004-Default,2016-06-06T20:55:57.7872448+02:00,0,0Win:vsWindowTypeToolWindow Start Page,
c06eae48-6a42-41e0-aed1-4fb943168d14,2,5,1,1,1,1,0,1,1,0,0,0,5,5,,fec01e0d-d51c-4043-8961-ec4a49cd20da,0.1009-Default,2016-06-08T09:10:06.9870046+02:00,0,0Win:vsWindowTypeToolWindow Event Manager,
